indice_tiempo,ventas_precios_corrientes
01/01/2017,27858.9
01/02/2017,25994.2
01/03/2017,27780.0
01/04/2017,29134.3
01/05/2017,27969.0
01/06/2017,29132.7
01/07/2017,31182.3
01/08/2017,31154.9
01/09/2017,30521.5
01/10/2017,32446.0
01/11/2017,33629.0
01/01/2018,32479.2
01/02/2018,31736.8
01/03/2018,36531.3
01/04/2018,34113.7
01/05/2018,35133.1
01/06/2018,38338.2
01/07/2018,39278.4
01/08/2018,39491.9
01/09/2018,39925.5
01/10/2018,43420.3
01/11/2018,44849.4
01/01/2019,45433.6
01/02/2019,44592.1
01/03/2019,51065.7
01/04/2019,49621.4
01/05/2019,50778.3
01/06/2019,54413.4
01/07/2019,55044.5
01/08/2019,59672.1
01/09/2019,57885.3
01/10/2019,66325.6
01/11/2019,67943.7
01/12/2019,83524.6
01/01/2020,70145.0
01/02/2020,72494.4
01/03/2020,85778.0
01/04/2020,75009.6
01/05/2020,78594.5
01/06/2020,78232.9
01/08/2020,80412.0
01/09/2020,77055.8
01/10/2020,89224.3
01/11/2020,200.5
01/12/2020,115806.1
01/01/2021,98007.6
01/02/2021,92954.2
01/03/2021,107225.9
01/04/2021,106870.2
01/05/2021,110604.7
01/06/2021,116287.9
01/07/2021,125658.6
01/08/2021,124840.3
01/09/2021,123002.3
01/10/2021,140487.5
01/11/2021,141702.0
01/02/2022,152202.6
01/03/2022,16.5
01/04/2022,177148.1
01/05/2022,179639.2
